Ticker,Company,Sector,Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSY,The Hershey Company,Consumer Defensive,Confectioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUM,Humana Inc.,Healthcare,Healthcare Plans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWM,Howmet Aerospace Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBM,International Business Machines Corporation,Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICE,"Intercontinental Exchange, Inc.",Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFF,International Flavors & Fragrances Inc.,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILMN,"Illumina, Inc.",Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCY,Incyte Corporation,Healthcare,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFO,IHS Markit Ltd.,Industrials,Consulting Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTC,Intel Corporation,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTU,Intuit Inc.,Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPG,"The Interpublic Group of Companies, Inc.",Communication Services,Advertising Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,Ingersoll Rand Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISRG,"Intuitive Surgical, Inc.",Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,"Gartner, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVZ,Invesco Ltd.,Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,Jacobs Engineering Group Inc.,Industrials,Engineering & Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBHT,"J.B. Hunt Transport Services, Inc.",Industrials,Integrated Freight & Logistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCI,Johnson Controls International plc,Industrials,Engineering & Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JKHY,"Jack Henry & Associates, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JNPR,"Juniper Networks, Inc.",Technology,Communication Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPM,JPMorgan Chase & Co.,Financial,Banks - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,Kellogg Company,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEY,KeyCorp,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEYS,"Keysight Technologies, Inc.",Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHC,The Kraft Heinz Company,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMB,Kimberly-Clark Corporation,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMX,"CarMax, Inc.",Consumer Cyclical,Auto & Truck Dealerships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KR,The Kroger Co.,Consumer Defensive,Grocery Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KSU,Kansas City Southern,Industrials,Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,Loews Corporation,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LB,"L Brands, Inc.",Consumer Cyclical,Apparel Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEG,"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEN,Lennar Corporation,Consumer Cyclical,Residential Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIN,Linde plc,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKQ,LKQ Corporation,Consumer Cyclical,Auto Parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNC,Lincoln National Corporation,Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNT,Alliant Energy Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOW,"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRCX,Lam Research Corporation,Technology,Semiconductor Equipment & Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUV,Southwest Airlines Co.,Industrials,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYB,LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,Mastercard Incorporated,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,"Marriott International, Inc.",Consumer Cyclical,Lodging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAS,Masco Corporation,Industrials,Building Products & Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHP,Microchip Technology Incorporated,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCK,McKesson Corporation,Healthcare,Medical Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Moody's Corporation,Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Confectioners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDT,Medtronic plc,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MET,"MetLife, Inc.",Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MHK,"Mohawk Industries, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKC,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLM,"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMC,"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMM,3M Company,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNST,Monster Beverage Corporation,Consumer Defensive,Beverages - Non-Alcoholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOS,The Mosaic Company,Basic Materials,Agricultural Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRO,Marathon Oil Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,Morgan Stanley,Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSCI,MSCI Inc.,Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTB,M&T Bank Corporation,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU,"Micron Technology, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXIM,"Maxim Integrated Products, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYL,"Mylan, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBL,"Noble Energy, Inc.",Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDAQ,"Nasdaq, Inc.",Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEE,"NextEra Energy, Inc.",Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEM,Newmont Corporation,Basic Materials,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFLX,"Netflix, Inc.",Communication Services,Entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NI,NiSource Inc.,Utilities,Utilities - Regulated Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLOK,NortonLifeLock Inc.,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLSN,Nielsen Holdings plc,Industrials,Consulting Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOV,"National Oilwell Varco, Inc.",Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOW,"ServiceNow, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRG,"NRG Energy, Inc.",Utilities,Utilities - Independent Power Producers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSC,Norfolk Southern Corporation,Industrials,Railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTAP,"NetApp, Inc.",Technology,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NTRS,Northern Trust Corporation,Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUE,Nucor Corporation,Basic Materials,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVDA,NVIDIA Corporation,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWL,Newell Brands Inc.,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWS,News Corporation,Communication Services,Broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWSA,News Corporation,Communication Services,Broadcasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,Realty Income Corporation,Real Estate,REIT - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ODFL,"Old Dominion Freight Line, Inc.",Industrials,Trucking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKE,"ONEOK, Inc.",Energy,Oil & Gas Midstream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMC,Omnicom Group Inc.,Communication Services,Advertising Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORCL,Oracle Corporation,Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTIS,Otis Worldwide Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OXY,Occidental Petroleum Corporation,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYC,"Paycom Software, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYX,"Paychex, Inc.",Industrials,Staffing & Employment Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBCT,"People's United Financial, Inc.",Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAR,PACCAR Inc,Industrials,Farm & Heavy Construction Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAK,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEG,Public Service Enterprise Group Incorporated,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PFG,"Principal Financial Group, Inc.",Financial,Insurance - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,The Progressive Corporation,Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH,Parker-Hannifin Corporation,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHM,"PulteGroup, Inc.",Consumer Cyclical,Residential Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKG,Packaging Corporation of America,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKI,"PerkinElmer, Inc.",Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLD,"Prologis, Inc.",Real Estate,REIT - Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNC,"The PNC Financial Services Group, Inc.",Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNR,Pentair plc,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNW,Pinnacle West Capital Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPG,"PPG Industries, Inc.",Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPL,PPL Corporation,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRGO,Perrigo Company plc,Healthcare,Drug Manufacturers - Specialty & Generic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRU,"Prudential Financial, Inc.",Financial,Insurance - Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSA,Public Storage,Real Estate,REIT - Industrial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVH,PVH Corp.,Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWR,"Quanta Services, Inc.",Industrials,Engineering & Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PXD,Pioneer Natural Resources Company,Energy,Oil & Gas E&P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYPL,"PayPal Holdings, Inc.",Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QRVO,"Qorvo, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG,Regency Centers Corporation,Real Estate,REIT - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF,Regions Financial Corporation,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHI,Robert Half International Inc.,Industrials,Staffing & Employment Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,"Raymond James Financial, Inc.",Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROK,"Rockwell Automation, Inc.",Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROL,"Rollins, Inc.",Consumer Cyclical,Personal Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROP,"Roper Technologies, Inc.",Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROST,"Ross Stores, Inc.",Consumer Cyclical,Apparel Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RSG,"Republic Services, Inc.",Industrials,Waste Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBAC,SBA Communications Corporation (REIT),Real Estate,REIT - Specialty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBUX,Starbucks Corporation,Consumer Cyclical,Restaurants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab Corporation,Financial,Capital Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEE,Sealed Air Corporation,Consumer Cyclical,Packaging & Containers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHW,The Sherwin-Williams Company,Basic Materials,Specialty Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIVB,SVB Financial Group,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,Schlumberger Limited,Energy,Oil & Gas Equipment & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLG,SL Green Realty Corp.,Real Estate,REIT - Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNA,Snap-on Incorporated,Industrials,Tools & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO,The Southern Company,Utilities,Utilities - Regulated Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPG,"Simon Property Group, Inc.",Real Estate,REIT - Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,S&P Global Inc.,Financial,Financial Data & Stock Exchanges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRE,Sempra Energy,Utilities,Utilities - Diversified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STE,STERIS plc,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,State Street Corporation,Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Seagate Technology plc,Technology,Computer Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STZ,"Constellation Brands, Inc.",Consumer Defensive,Beverages - Wineries & Distilleries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWK,"Stanley Black & Decker, Inc.",Industrials,Tools & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWKS,"Skyworks Solutions, Inc.",Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYF,Synchrony Financial,Financial,Credit Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK,Stryker Corporation,Healthcare,Medical Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYY,Sysco Corporation,Consumer Defensive,Food Distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T,AT&T Inc.,Communication Services,Telecom Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDY,Teledyne Technologies Incorporated,Technology,Scientific & Technical Instruments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEL,TE Connectivity Ltd.,Technology,Electronic Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFC,Truist Financial Corporation,Financial,Banks - Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFX,Teleflex Incorporated,Healthcare,Medical Instruments & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGT,Target Corporation,Consumer Defensive,Discount Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIF,Tiffany & Co.,Consumer Cyclical,Luxury Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJX,"The TJX Companies, Inc.",Consumer Cyclical,Apparel Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TROW,"T. Rowe Price Group, Inc.",Financial,Asset Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV,"The Travelers Companies, Inc.",Financial,Insurance - Property & Casualty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSCO,Tractor Supply Company,Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSN,"Tyson Foods, Inc.",Consumer Defensive,Farm Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT,Trane Technologies plc,Industrials,Specialty Industrial Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTWO,"Take-Two Interactive Software, Inc.",Communication Services,Electronic Gaming & Multimedia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWTR,"Twitter, Inc.",Communication Services,Internet Content & Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXN,Texas Instruments Incorporated,Technology,Semiconductors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXT,Textron Inc.,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYL,"Tyler Technologies, Inc.",Technology,Software - Application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAL,"United Airlines Holdings, Inc.",Industrials,Airlines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDR,"UDR, Inc.",Real Estate,REIT - Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
